,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,1.787451,-1.1700486,-1.4233323,0.6077256,-1.2813731,0.69808143,-0.4718939,-0.18891932,-1.7718797,0.92024505,0.49115166,0.6700011,-0.8041556,0.3652646,-1.5104971,1.3612123,0.12193572,0.036075495,-2.5580606,-0.050068945,0.121006474,1.3920734,0.8378283,0.16458263,0.2880165,0.6373398,-1.6376158,0.4585869,0.60733074,0.13165493,0.2468383,-1.1279655,1.2760313,-1.7999336,-0.22632696,0.14167276,1.1486648,-0.22391827,-1.559963,-1.3272775,0.7513733,0.27152047,0.47988075,-1.2108821,0.19372602,1.1811036,1.0647647,-0.06804832,1.5396996,-0.21828821,-0.9556708,-1.0318428,0.5718598,-0.41358325,0.096275136,0.53431356,-0.24652612,1.1921443,0.9351836,-0.050955962,1.6549757,-2.2621002,0.6916056,0.73331153,0.49554348,0.34887058,0.25973362,-0.061141413,0.9438859,-0.11384414,1.7152965,0.8821405,-0.13561937,-0.56911546,-0.70798427,-0.85148674,0.71616495,-0.87345546,-0.93278086,0.31590578,-0.19826084,-2.0249193,0.39619747,-1.5693635,1.0615344,-0.045190554,-0.937166,0.16408457,-0.029912814,-1.6669302,0.39350277,-0.7964335,0.29102162,2.1837325,0.27925387,-0.09459948,-0.5261387,-0.5990806,-1.0198231,2.4175172
AAL,1.7776402,-1.1682984,-1.4286311,0.6139998,-1.2752242,0.70100224,-0.46288642,-0.20178793,-1.7756743,0.916724,0.4926927,0.6793463,-0.8066196,0.36009407,-1.5050681,1.3663946,0.11652062,0.037982844,-2.567031,-0.050785378,0.1300645,1.385259,0.8354978,0.15021443,0.29579353,0.63313454,-1.6448777,0.46282223,0.6048611,0.13460924,0.2508883,-1.132931,1.2802647,-1.8007376,-0.22692625,0.14643043,1.1600959,-0.2262496,-1.5491993,-1.336399,0.75805825,0.26867703,0.47095075,-1.2257316,0.17811444,1.174581,1.069629,-0.07245659,1.5308946,-0.2223294,-0.95036113,-1.032247,0.5702522,-0.42347407,0.08667196,0.54280967,-0.261706,1.1957973,0.95103776,-0.047235027,1.649369,-2.2641056,0.69147986,0.7329639,0.50160724,0.35443583,0.27464437,-0.04962036,0.93514526,-0.11512093,1.7154857,0.8805288,-0.13274351,-0.56724906,-0.7110987,-0.84024614,0.7240016,-0.872469,-0.9302198,0.319133,-0.19652328,-2.0273552,0.39536148,-1.5606724,1.0557209,-0.047096767,-0.9385272,0.15869002,-0.030458862,-1.666169,0.39621872,-0.7948357,0.28091976,2.1771064,0.28149801,-0.0948588,-0.52329713,-0.5907217,-1.0138376,2.4303503
AAP,1.7850884,-1.1647022,-1.4365385,0.5850721,-1.2673713,0.6909832,-0.4726702,-0.18722562,-1.7718226,0.9140072,0.4807477,0.6680293,-0.80819595,0.35699418,-1.511387,1.3728313,0.13137126,0.035976917,-2.563172,-0.05894664,0.10657709,1.3978245,0.82236016,0.1690316,0.29997054,0.6451858,-1.627755,0.4625699,0.60968894,0.14498693,0.25597894,-1.1425362,1.2685558,-1.7916632,-0.2216718,0.12969132,1.1534297,-0.21226552,-1.5710783,-1.3295418,0.75712615,0.27552283,0.4912939,-1.2109581,0.18195345,1.1783788,1.0509971,-0.07286392,1.5271562,-0.2292996,-0.952083,-1.0362254,0.5559673,-0.39894867,0.10304934,0.5476104,-0.23535903,1.1970129,0.9361823,-0.0614486,1.6455842,-2.264612,0.7089285,0.72432697,0.5054646,0.35819036,0.27189434,-0.07057051,0.9534748,-0.10909132,1.6932131,0.86926615,-0.12909496,-0.5595048,-0.71604407,-0.85595524,0.72608554,-0.86697525,-0.93099946,0.30792364,-0.18261786,-2.027641,0.41625616,-1.5593549,1.0386639,-0.0531916,-0.9453947,0.18744572,-0.021385163,-1.6569436,0.3970759,-0.7978225,0.29389226,2.173041,0.28354725,-0.09122069,-0.5298441,-0.59267175,-1.0387063,2.4133897
AAPL,1.7901734,-1.1705159,-1.4268275,0.60172874,-1.2877852,0.69339937,-0.4671496,-0.18254136,-1.7757612,0.92263454,0.48559877,0.6687322,-0.8099568,0.35965502,-1.5108229,1.3638643,0.12455604,0.03181974,-2.5554714,-0.056189366,0.11860565,1.3934119,0.83883315,0.1714478,0.28762835,0.64122736,-1.6383659,0.4501939,0.60295355,0.1330278,0.24383639,-1.1301943,1.2751551,-1.7874668,-0.2283835,0.13463077,1.149687,-0.22027837,-1.5653043,-1.3224685,0.76048917,0.2696906,0.48166496,-1.2081583,0.1978398,1.1822505,1.0599912,-0.062318925,1.5412571,-0.22386578,-0.95849866,-1.0307163,0.5705995,-0.4128267,0.10101551,0.5353517,-0.24331127,1.1924014,0.931856,-0.05942511,1.6569749,-2.256028,0.6846929,0.73140574,0.4862577,0.34184667,0.26409727,-0.073589906,0.94476056,-0.11448821,1.7142898,0.8757565,-0.13126743,-0.5645219,-0.70289934,-0.85524315,0.7239303,-0.8766097,-0.9238358,0.31354138,-0.19542854,-2.0253694,0.40617344,-1.5661663,1.0585245,-0.05108487,-0.9357007,0.16711457,-0.02812005,-1.6603082,0.39777485,-0.798805,0.29379836,2.1898344,0.28125256,-0.09121035,-0.5233385,-0.6010735,-1.0248401,2.4179544
ABBV,1.7824262,-1.1642492,-1.4382364,0.60324234,-1.27918,0.69994336,-0.47221664,-0.1908043,-1.77129,0.91054857,0.47998357,0.66975087,-0.8028357,0.3653846,-1.5113652,1.3669832,0.12605874,0.037496697,-2.5645573,-0.058829524,0.1166567,1.3935746,0.83485246,0.15897937,0.29156727,0.640723,-1.6393468,0.45667547,0.6163781,0.1259945,0.24941756,-1.1399137,1.2670571,-1.7932519,-0.22060034,0.13221553,1.1528902,-0.21849528,-1.5649176,-1.3357089,0.7585393,0.26717234,0.4845915,-1.2091726,0.181253,1.1791431,1.0548832,-0.064224996,1.5297706,-0.22649933,-0.9520136,-1.0300195,0.56810796,-0.402827,0.09518447,0.54105276,-0.23729128,1.191463,0.9457854,-0.054416142,1.6490731,-2.2617848,0.69625527,0.73007524,0.4957272,0.34708083,0.2688346,-0.06578841,0.9491515,-0.11655012,1.7110472,0.8777796,-0.13437751,-0.55947334,-0.7068388,-0.852233,0.7235851,-0.87055105,-0.93030524,0.31734702,-0.17952894,-2.0294085,0.40563264,-1.5684344,1.049158,-0.05267048,-0.9329412,0.17442432,-0.022764146,-1.6607246,0.39643538,-0.79980487,0.29404977,2.1813154,0.28076836,-0.09600464,-0.52073765,-0.58844805,-1.022774,2.412866
ABC,1.7962692,-1.1690426,-1.4255916,0.5929359,-1.2811822,0.69159675,-0.46839747,-0.1808621,-1.7741085,0.91883963,0.48303437,0.6663086,-0.8067214,0.36289236,-1.5101134,1.3682647,0.12885147,0.02907083,-2.5541255,-0.066426635,0.11250061,1.3919004,0.83169335,0.17446043,0.2933834,0.645559,-1.6428329,0.4577886,0.60338277,0.13914585,0.24974504,-1.1344142,1.2674124,-1.7842532,-0.22088432,0.1315554,1.1451463,-0.21649158,-1.5734261,-1.3248945,0.7566493,0.27126202,0.48911238,-1.200111,0.1924036,1.1820571,1.0531535,-0.06644703,1.5377828,-0.23487183,-0.95038956,-1.0326405,0.5664208,-0.40606123,0.10203716,0.53812784,-0.23192881,1.1893594,0.9311778,-0.06536613,1.6538724,-2.2528577,0.69591355,0.7255708,0.50185204,0.34907576,0.2646794,-0.08262346,0.9448271,-0.10820517,1.6973145,0.87226385,-0.12738675,-0.568979,-0.71088064,-0.8657041,0.7283085,-0.86935085,-0.92199147,0.30856812,-0.18751408,-2.0298073,0.41716537,-1.5719252,1.052035,-0.055075638,-0.9440205,0.18407288,-0.025350843,-1.6616331,0.40036365,-0.80355924,0.29986095,2.1885905,0.2822455,-0.09252977,-0.5242041,-0.5924982,-1.0249479,2.406798
ABMD,1.7806361,-1.166628,-1.4349923,0.62495196,-1.2833076,0.7054486,-0.47467878,-0.18776935,-1.7774229,0.9276049,0.5073463,0.66560847,-0.80430496,0.36744982,-1.5002708,1.354453,0.10793671,0.0371154,-2.5641956,-0.034955855,0.15263908,1.3837823,0.84574395,0.15071622,0.2848739,0.6272281,-1.6542064,0.45798123,0.6117734,0.13117723,0.2476941,-1.1313592,1.2920364,-1.8089187,-0.22844626,0.15282291,1.1590638,-0.23895876,-1.5365667,-1.3381866,0.747519,0.2522729,0.4788898,-1.215389,0.17730826,1.1729044,1.0868531,-0.055528305,1.5412035,-0.2146752,-0.9600094,-1.0296221,0.5696984,-0.43737668,0.08551882,0.5388479,-0.2761514,1.190076,0.943391,-0.03830306,1.6526067,-2.261297,0.67255914,0.73812956,0.4853091,0.34532252,0.2760793,-0.04527543,0.93957305,-0.12203179,1.7301973,0.8885662,-0.1271745,-0.5810041,-0.6935911,-0.839406,0.7136924,-0.8888582,-0.9286757,0.31919003,-0.19330835,-2.0216105,0.37236714,-1.5651417,1.0602174,-0.04186649,-0.91875875,0.15042199,-0.031752083,-1.6688187,0.39245126,-0.7939182,0.27894005,2.177289,0.2876267,-0.103861056,-0.5224199,-0.60123223,-1.0117836,2.4361546
ABT,1.7841189,-1.1680586,-1.4299486,0.59757525,-1.275241,0.6936252,-0.47091866,-0.18858838,-1.771157,0.91567296,0.481417,0.66301966,-0.80728644,0.36026213,-1.5120585,1.368676,0.12840445,0.03359472,-2.55932,-0.055263598,0.11063346,1.3966147,0.82816094,0.16816606,0.29269996,0.6427927,-1.6319784,0.4592704,0.6097861,0.13991156,0.25226173,-1.1362497,1.2692548,-1.7930852,-0.22367187,0.1340567,1.1523718,-0.21608454,-1.5687958,-1.3270105,0.7549613,0.27416173,0.4872167,-1.210949,0.18828276,1.1813917,1.0561043,-0.06917298,1.5301214,-0.2260235,-0.9565806,-1.035168,0.56479686,-0.402774,0.10432981,0.5415739,-0.23533387,1.1945577,0.9363632,-0.05859899,1.6511141,-2.2648795,0.701066,0.7291619,0.5007778,0.35387653,0.26407,-0.07007294,0.9476962,-0.11235556,1.7013553,0.874914,-0.12994888,-0.5605533,-0.70847243,-0.851388,0.7208634,-0.8697627,-0.9357176,0.30923018,-0.18871497,-2.028291,0.40964139,-1.561503,1.0515093,-0.050392058,-0.9436174,0.17725088,-0.023001008,-1.6609173,0.39757887,-0.79576445,0.29447222,2.1790445,0.2819502,-0.09021418,-0.5265832,-0.5966826,-1.0332268,2.4114213
ACN,1.7881259,-1.1742105,-1.4236577,0.60199624,-1.2794741,0.6952201,-0.4679514,-0.18492082,-1.7756939,0.9194511,0.48495156,0.6607072,-0.8095019,0.36202344,-1.5122774,1.3684349,0.123293646,0.035306454,-2.555673,-0.053641155,0.11606455,1.3905115,0.83201534,0.16863437,0.29062814,0.63889474,-1.6384825,0.45759073,0.6013742,0.13877481,0.2523406,-1.1276414,1.2685928,-1.7940022,-0.22548738,0.13940422,1.1495419,-0.21578224,-1.563987,-1.3226022,0.7518314,0.27720952,0.48565283,-1.2110972,0.19299771,1.1810735,1.0651168,-0.071214534,1.5364182,-0.22782338,-0.95934844,-1.0331392,0.56966114,-0.41199055,0.102465406,0.53638566,-0.23950104,1.1920761,0.92677045,-0.058811825,1.6553478,-2.2628615,0.69903105,0.7291122,0.5008588,0.34826058,0.2591115,-0.07341294,0.9446916,-0.111274585,1.7038895,0.87684417,-0.13344142,-0.5638486,-0.70867324,-0.85269415,0.7268789,-0.8716019,-0.92976487,0.3084741,-0.20145366,-2.0271335,0.4105592,-1.5627263,1.0581799,-0.047123253,-0.94509757,0.17091727,-0.026175614,-1.6613567,0.4006144,-0.7954696,0.29917186,2.1865578,0.2792781,-0.087593675,-0.52608365,-0.59829825,-1.028486,2.415484
ADI,1.7877501,-1.1731834,-1.4274889,0.60326236,-1.2790061,0.70256305,-0.4647437,-0.1840015,-1.7794766,0.91552496,0.48322374,0.66283303,-0.8079838,0.36128524,-1.5118487,1.3745861,0.118815415,0.034470603,-2.5565338,-0.05057388,0.11600206,1.3881663,0.83235633,0.1615785,0.28832597,0.63302726,-1.639674,0.45888728,0.6030827,0.13315071,0.25354815,-1.1340877,1.2707751,-1.7910057,-0.22220887,0.14563678,1.1499856,-0.21720827,-1.5570934,-1.3304027,0.76104045,0.27090135,0.47837076,-1.2216519,0.19202507,1.1797732,1.0666034,-0.073087916,1.5355759,-0.22677709,-0.957457,-1.0292134,0.5713992,-0.411337,0.09367296,0.535895,-0.2505476,1.1934874,0.934292,-0.054225013,1.6551334,-2.2580128,0.69874746,0.73164314,0.49295926,0.34332222,0.26424658,-0.06440241,0.9435238,-0.116919726,1.712492,0.8767626,-0.13773061,-0.56101614,-0.7068044,-0.8448717,0.72621536,-0.8743946,-0.9256772,0.31082192,-0.19696748,-2.0255873,0.4049169,-1.5672479,1.0557828,-0.043686863,-0.9369291,0.16401002,-0.023889948,-1.6609662,0.4032579,-0.79613256,0.29090455,2.1837814,0.27804554,-0.091973476,-0.5247743,-0.5963505,-1.0243416,2.4236887
