,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,0.010952858,-0.027417082,-0.059976462,0.05437817,0.114705265,0.2264811,0.028039575,0.13385826,-0.017710028,-0.037919782,0.18137708,0.15043738,0.055310234,-0.00324158,0.12696856,0.08056762,0.119121395,0.0012613214,-0.08044812,0.07500577,-0.022905843,-0.03255721,-0.030168917,0.0121331215,0.059705086,-0.010667104,-0.065400824,0.107155964,0.20469706,0.08007999,0.07416673,0.0010617822,-0.06726903,0.014303474,0.1144989,0.1982741,0.17323342,0.04857844,0.25943956,0.0413025,0.107386164,0.003655471,0.0153349675,0.07509306,-0.038237557,-0.016228335,0.22702155,0.13551642,0.042140983,-0.02129766,0.029271353,0.11089455,-0.012273783,0.22013767,-0.038790204,0.115333736,0.041755635,-0.03801477,-0.035294697,0.036101203,0.16754606,0.034740217,0.36471477,0.101391315,0.20047736,0.14921112,0.060570337,0.0990807,-0.021239027,0.19862853,0.0942765,0.0107767135,-0.07537036,0.09043305,0.08483039,0.06010903,0.09224838,0.037141655,0.12358896,-0.021892037,0.09361237,0.17451605,0.22449228,-0.0123090455,0.05828345,0.08502656,0.032382663,0.27138454,0.022979427,0.22679502,0.016253464,0.21242177,0.25591385,0.07031852,0.17649676,0.01611619,0.16492498,0.008597616,0.0321107,-0.0033563636
AAL,0.06140639,-0.018639077,-0.04812648,0.057157584,0.12186898,0.22271782,0.025111355,0.13391718,-0.0061566755,-0.040269338,0.18307693,0.1292027,0.10692732,-0.00037660263,0.12764558,0.08119522,0.17727399,0.0076220813,-0.07845274,0.10899262,-0.018019823,-0.034631733,-0.027788261,0.012971181,0.059816703,-0.004052691,-0.06695872,0.11765389,0.19935967,0.07819401,0.07352127,-0.017852586,-0.04975564,0.028727368,0.16813105,0.1853,0.17471355,0.09073615,0.25874016,0.012220334,0.16678746,-0.009027302,0.014105387,0.084110655,-0.035802945,-0.016210567,0.22188477,0.13313821,0.044304818,-0.01992374,0.023033688,0.104029536,-0.007758118,0.14925927,-0.04537631,0.11609462,0.044854358,-0.038498487,-0.034538712,0.03956168,0.16767435,0.033164613,0.24668023,0.09658324,0.20276356,0.15373088,0.066254124,0.08134098,-0.024550324,0.16282149,0.10258177,0.000135798,-0.073845044,0.101300895,0.063507125,0.06775074,0.08913885,0.022470884,0.12426125,-0.021766707,0.09610294,0.17610005,0.16878913,-0.02820985,0.05307231,0.090109944,0.0317632,0.19958663,0.023148872,0.2356053,0.009049219,0.19568583,0.25671852,0.081340946,0.1766049,0.013447955,0.16789587,0.009292297,0.029167008,-0.020555746
AAP,0.056909677,-0.022013295,-0.049651906,0.05384452,0.11490275,0.22400995,0.027293667,0.13341072,-0.013258912,-0.019632243,0.1845181,0.1106275,0.12579581,-0.005717151,0.12675007,0.08038696,0.20981804,-0.012047958,-0.077114776,0.14296749,-0.022318972,-0.033802688,-0.021396007,0.013673879,0.06288446,-0.0092528295,-0.057030596,0.1033747,0.1987793,0.08057047,0.07504774,-0.038651787,-0.068993986,0.02412332,0.2033012,0.18996726,0.1764448,0.10635772,0.25342372,-0.011472229,0.19013506,-0.0052477643,0.005249355,0.0811899,-0.037111025,-0.009750199,0.21867338,0.13547613,0.042661592,-0.03081157,0.028247867,0.13457917,-0.0046709925,0.112169914,-0.04918062,0.11433751,0.042527646,-0.049820088,-0.032460608,0.03430791,0.16757233,0.034912366,0.20937023,0.09839671,0.1986409,0.14660358,0.061232045,0.046415206,-0.016893474,0.13865763,0.088953,-0.01246224,-0.075425565,0.09880789,0.0556033,0.06835782,0.08747609,0.022318851,0.13598603,-0.020824412,0.09372694,0.17203692,0.10401994,-0.036746822,0.030126385,0.081261136,0.022828178,0.15102659,0.024266679,0.2394458,0.00912136,0.18639323,0.26087534,0.0698524,0.17766261,0.022784628,0.16925569,0.010261737,0.026867893,-0.03886159
AAPL,0.02268006,-0.021898586,-0.052613508,0.056719825,0.1160463,0.2216183,0.02636651,0.13397028,-0.010897366,-0.049781967,0.18415797,0.10814705,0.06198784,-0.0094984695,0.12630942,0.08113469,0.11600372,0.0023485287,-0.07892445,0.080936596,-0.020487683,-0.03346531,-0.026214177,0.0130043775,0.059961915,-0.008924974,-0.064529836,0.0994511,0.20091951,0.079468764,0.07451813,-0.038001396,-0.059386604,0.019399544,0.118464924,0.18856648,0.17484751,0.051368684,0.25291434,0.020430723,0.10411135,-0.006322868,-0.013501994,0.077620864,-0.04081656,-0.018111011,0.21941672,0.1372004,0.04147657,-0.035007205,0.02902031,0.09678835,-0.009585431,0.17931758,-0.047971316,0.11603447,0.041348804,-0.049934223,-0.035631176,0.037554998,0.16686833,0.03460886,0.30974913,0.09826601,0.19955456,0.1495214,0.060526125,0.057328407,-0.0260937,0.15648806,0.099844255,-0.01746137,-0.07442167,0.08819983,0.075794086,0.06276491,0.085203886,0.011955222,0.118651986,-0.022122815,0.09372929,0.17204982,0.19873664,-0.031863023,0.06846456,0.085931405,0.032443404,0.24066657,0.021896794,0.22683105,-0.0037234882,0.18706511,0.25895745,0.08675256,0.17825083,0.008149624,0.17007816,0.009005617,0.028361317,-0.026563939
ABBV,0.10524988,-0.017036587,-0.057085562,0.05345258,0.11908902,0.2266167,0.024641301,0.13399138,-0.011836283,-0.007862918,0.1824857,0.15528145,0.20796031,0.014579773,0.12667286,0.07969378,0.30367392,-0.007833367,-0.08039007,0.21708724,-0.025377085,-0.032945033,-0.018807394,0.016773634,0.07962544,-0.011648166,-0.051817164,0.13270289,0.19737796,0.082899034,0.07099706,0.028659321,-0.05993633,0.053409968,0.3155049,0.18028496,0.17574422,0.1647573,0.24833113,0.11511399,0.2656867,0.029729012,0.05105973,0.088550374,-0.03305003,7.2659925e-05,0.22454348,0.13432634,0.040684152,-0.008636749,0.028537918,0.1593485,0.0034035556,0.38732392,-0.023687,0.11370854,0.041817933,-0.0116450265,-0.034095854,0.036754705,0.16771042,0.03366813,0.625208,0.09791557,0.1975359,0.15071373,0.06414887,0.15009308,-0.021324482,0.30821177,0.11902149,0.046448193,-0.07526743,0.111459576,0.14831868,0.061724845,0.09104173,0.053042997,0.13887195,-0.021128368,0.092956565,0.17390743,0.4057752,0.016560819,0.07985313,0.094142586,0.05244007,0.48026013,0.026463259,0.22879846,0.059274256,0.2143093,0.2612259,0.07008052,0.17606068,0.031139288,0.17409188,0.013233762,0.04174896,0.04663364
ABC,0.028410323,-0.031053286,-0.054231513,0.054898627,0.11888252,0.22053939,0.026153125,0.13347381,-0.01133059,-0.04103151,0.18294957,0.13624641,0.09761084,-0.0074365884,0.12738338,0.07773992,0.16244248,-0.005560161,-0.08263536,0.10495856,-0.020854173,-0.033474863,-0.03061478,0.01298653,0.060548536,-0.0054049226,-0.061905272,0.09834038,0.2032428,0.07943605,0.06919826,-0.018013086,-0.071038246,0.006081052,0.17827749,0.19098136,0.17392327,0.07929289,0.25607246,-0.020249885,0.13682319,-0.0107857175,-0.01238795,0.075544566,-0.040411882,-0.015360637,0.22327003,0.13555083,0.04625924,-0.03364989,0.027327873,0.12477316,-0.0061928835,0.08424305,-0.041643247,0.11721177,0.0425484,-0.041478798,-0.034082867,0.037053403,0.16699368,0.036502305,0.16263476,0.09970924,0.19821419,0.14675044,0.059851397,0.06738595,-0.0255981,0.0925944,0.08875712,-0.017494813,-0.074146844,0.09065584,0.050627604,0.061548326,0.08934022,0.027076252,0.1270886,-0.020882413,0.095441446,0.17086245,0.091863334,-0.031220932,0.04169357,0.07820718,0.023259794,0.13755679,0.021904338,0.22238582,-0.014788032,0.20013168,0.25482866,0.072668105,0.17671551,0.0029144846,0.16550739,0.009329118,0.028455049,-0.026998423
ABMD,0.14487393,-0.010538984,-0.014357731,0.061354633,0.13362682,0.21814138,0.044292405,0.13915756,-0.013833545,0.003422834,0.18248585,0.16827562,0.25625822,-0.008087408,0.12892218,0.07724087,0.3634674,0.031072685,-0.08075996,0.29155678,-0.022383729,-0.017761366,-0.010415766,0.012111861,0.06356794,-0.0025149584,-0.051021025,0.20745409,0.20365489,0.07940196,0.0919929,0.07942692,-0.045139335,0.11646657,0.39665386,0.24487513,0.17691812,0.18997669,0.30198583,0.27383748,0.34447783,0.09537184,0.1645767,0.13962705,-0.021541089,0.0038220827,0.21824858,0.1343913,0.047539596,0.04443247,0.025470987,0.13729128,-0.002371408,0.75581425,-0.011243765,0.117568314,0.044858657,0.04137139,-0.03470957,0.035606295,0.17829287,0.03609799,1.1703699,0.103152536,0.19950633,0.16159013,0.068300255,0.3264765,-0.0059064254,0.5571066,0.13929108,0.11828677,-0.074241415,0.17217079,0.29702234,0.065844096,0.09551116,0.044380344,0.19972768,-0.020568877,0.10327666,0.17146638,0.77787226,0.071026266,0.14679322,0.10286885,0.11033979,0.9201883,0.03274405,0.259639,0.1635181,0.1950822,0.27378848,0.100740835,0.17547075,0.022959534,0.18639119,0.010330915,0.026694726,0.16640978
ABT,0.0059208535,-0.02141533,-0.052635133,0.05204144,0.11528394,0.22459126,0.02586887,0.13372873,-0.0121040065,-0.060330775,0.18345654,0.11141205,0.036596157,-0.008237779,0.12573329,0.07958727,0.09129143,-0.0147423465,-0.080792785,0.045189857,-0.020129,-0.034200363,-0.0352033,0.013126865,0.05660314,-0.011112876,-0.070457645,0.09006024,0.19683865,0.08101858,0.06949255,-0.037847325,-0.061400585,-0.0012481865,0.07072641,0.17727132,0.17533113,0.034655474,0.24480097,-0.048921026,0.08059822,-0.0031555817,-0.02477212,0.07318254,-0.039629307,-0.017060112,0.21707432,0.13679114,0.03948681,-0.057080016,0.028535485,0.088888556,-0.010132724,0.018038206,-0.04858553,0.115619734,0.040220566,-0.04326502,-0.033924762,0.037012566,0.1669914,0.033888273,0.051158357,0.098657146,0.1980184,0.15159637,0.060717627,0.03286823,-0.030835591,0.063664734,0.09175883,-0.026632376,-0.07538755,0.087204866,0.022931417,0.0605139,0.084754854,0.013967391,0.124092765,-0.022347081,0.09329507,0.17199962,0.020822309,-0.043116752,0.032573298,0.0767131,0.01520931,0.04718183,0.020955488,0.22928733,-0.03260732,0.1852869,0.25226405,0.0734421,0.17714304,0.0072100796,0.16166386,0.008893684,0.026906144,-0.05189971
ACN,-0.009703685,-0.029078603,-0.053567518,0.051979586,0.116326034,0.22162504,0.02149102,0.13237032,-0.013031149,-0.035275508,0.18021046,0.11923236,0.019822516,-0.0023907647,0.1248733,0.07950366,0.059279107,-0.0062663755,-0.081433125,0.04175549,-0.021431869,-0.034670375,-0.027300645,0.013727073,0.059776895,-0.012591584,-0.06661354,0.09061788,0.19538376,0.08038289,0.06870888,-0.021835536,-0.07119922,-0.0046564974,0.066131294,0.17642362,0.17325175,0.0014341469,0.24437523,-0.019299129,0.04628408,-0.0013028532,-0.025923355,0.07364762,-0.040508494,-0.018232968,0.21657225,0.13626367,0.039598323,-0.04450526,0.028808115,0.09988884,-0.0075330473,0.089006,-0.04410396,0.11640163,0.039492413,-0.04337214,-0.0348693,0.036338422,0.16756026,0.034681827,0.16502742,0.09837973,0.19883531,0.1470137,0.060685035,0.07156322,-0.030375581,0.06932587,0.09031584,-0.03154278,-0.074868925,0.084983006,0.05234114,0.06456137,0.089219876,0.02968553,0.124275014,-0.02127637,0.092891276,0.17106017,0.086968906,-0.027515732,0.032406278,0.084166534,0.015603919,0.13706394,0.021370046,0.22222693,-0.029537782,0.19335426,0.25784004,0.069111034,0.1777738,0.01018507,0.16972262,0.00978842,0.030162897,-0.018170062
ADI,0.016710829,-0.02675455,-0.056208625,0.05476657,0.11630929,0.22009607,0.023373857,0.13481128,-0.012572395,-0.042993568,0.1815095,0.11485244,0.052673228,-0.0027484335,0.1257937,0.07924445,0.10517766,-0.00015909644,-0.08122741,0.07488428,-0.022577295,-0.031882994,-0.029123057,0.012061726,0.06385378,-0.011958672,-0.060447577,0.09811558,0.20026913,0.07943276,0.07060475,-0.04048201,-0.06807098,0.015360169,0.10865854,0.18581916,0.17366868,0.031071179,0.25080252,-0.032422654,0.087767385,-0.002031479,-0.013562743,0.07791328,-0.039019763,-0.015268383,0.21929649,0.13670114,0.038851827,-0.035103183,0.029469887,0.09463783,-0.010674108,0.055285156,-0.046362273,0.114612415,0.040226426,-0.045378346,-0.034724943,0.037062056,0.1676179,0.033698596,0.11664958,0.10124921,0.19859867,0.1483111,0.06328613,0.03614442,-0.025304599,0.0827755,0.08881874,-0.020027626,-0.07460751,0.09285966,0.030219117,0.05999426,0.085777305,0.01624921,0.12299651,-0.022406153,0.09236416,0.17327474,0.06660771,-0.04035427,0.04229044,0.077663526,0.017987363,0.087687775,0.020863783,0.22583984,-0.017370667,0.19445978,0.2548779,0.0760179,0.17805766,0.007128205,0.1650338,0.010990124,0.029950377,-0.057024382
